GENDER,AGE_6,AGE_12,EDUC,NOC_10,NAICS_21,PROV,FTPTMAIN,PERMTEMP,UNION,ESTSIZE,MARSTAT,HRLYEARN,SURVYEAR,SURVMNTH,YEAR,MONTH,FINALWT,source,HAS_VALID_WAGE,IS_FEMALE,IS_FULLTIME,IS_PERMANENT,IS_UNION,HAS_DEGREE,AGE_APPROX,EDUC_COMPLETE_AGE,EXPERIENCE_PROXY,EXPERIENCE_SQ,LOG_HRLYEARN,cpi,gdp_growth,unemployment,interest_rate,inflation,recession,covid,deflator,REAL_HRLYEARN,LOG_REAL_HRLYEARN,ECONOMIC_PERIOD,GENDER_LABEL,PROV_LABEL,EDUC_LABEL,AGE_6_LABEL,AGE_12_LABEL,NOC_10_LABEL,NAICS_21_LABEL,FTPTMAIN_LABEL,UNION_LABEL,PERMTEMP_LABEL,ESTSIZE_LABEL,MARSTAT_LABEL,PROV_ABBREV
1,3,6,3,2,38,48,1,1,1,5,1,59.09,2012,4,2012,4,902.55,Synthetic,True,0,1,1,1,0,40,20,20,400,4.079061705357583,121.7,1.8,7.3,1.0,,0,0,0.9572719802793755,56.565201314708304,4.035393978369857,pre_crisis,Male,Alberta,Postsecondary certificate/diploma,35-44,40-44,Natural/Applied Sciences,,Full-time,Union member,Permanent,1000+ employees,Married,AB
2,2,4,1,9,16,48,1,1,3,2,1,20.11,2017,4,2017,4,1463.38,Synthetic,True,1,1,1,0,0,30,18,12,144,3.001217203784561,130.4,3.0,6.3,0.71,7.148726376335257,0,0,0.8934049079754601,17.966372699386504,2.8885018272977634,recovery,Female,Alberta,High school graduate,25-34,30-34,Manufacturing/Utilities,,Full-time,Non-unionized,Permanent,20-99 employees,Married,AB
2,1,2,1,4,80,24,1,1,3,3,6,16.95,2016,2,2016,2,1292.83,Synthetic,True,1,1,1,0,0,20,18,2,4,2.830267833826459,128.4,1.0,7.0,0.5,-1.5337423312883458,0,0,0.9073208722741433,15.379088785046727,2.7330087155763536,oil_shock,Female,Quebec,High school graduate,15-24,20-24,Education/Law/Social/Government,,Full-time,Non-unionized,Permanent,100-499 employees,"Single, never married",QC
2,4,8,2,9,54,35,1,3,3,1,1,30.82,2025,5,2025,5,816.09,Synthetic,True,1,1,0,0,0,50,19,31,961,3.42816382989197,165.0,1.8,6.3,3.75,28.504672897196247,0,0,0.706060606060606,21.76078787878788,3.0801096289971444,stabilization,Female,Ontario,Some postsecondary,45-54,50-54,Manufacturing/Utilities,Professional Services,Full-time,Non-unionized,Seasonal,<20 employees,Married,ON
1,3,6,5,4,57,35,1,1,3,6,1,47.49,2025,1,2025,1,1203.57,Synthetic,True,0,1,1,0,1,40,25,15,225,3.8605191625610304,165.0,1.8,6.3,3.75,0.0,0,0,0.706060606060606,33.530818181818184,3.5124649616662054,stabilization,Male,Ontario,Above bachelor's degree,35-44,40-44,Education/Law/Social/Government,,Full-time,Non-unionized,Permanent,Unknown,Married,ON
1,3,6,2,9,46,35,1,1,3,1,5,23.13,2012,9,2012,9,1018.83,Synthetic,True,0,1,1,0,0,40,19,21,441,3.141130476243348,121.7,1.8,7.3,1.0,-26.242424242424246,0,0,0.9572719802793755,22.141700903861956,3.0974627492556217,pre_crisis,Male,Ontario,Some postsecondary,35-44,40-44,Manufacturing/Utilities,,Full-time,Non-unionized,Permanent,<20 employees,Divorced,ON
1,3,6,5,3,54,59,1,1,3,2,1,49.58,2015,5,2015,5,992.27,Synthetic,True,0,1,1,0,1,40,25,15,225,3.9035875266070446,126.6,0.7,6.9,0.63,4.026294165981925,0,0,0.920221169036335,45.62456556082149,3.820446289902724,oil_shock,Male,British Columbia,Above bachelor's degree,35-44,40-44,Health,Professional Services,Full-time,Non-unionized,Permanent,20-99 employees,Married,BC
2,3,6,2,7,79,35,1,1,3,3,6,33.35,2013,6,2013,6,1431.52,Synthetic,True,1,1,1,0,0,40,19,21,441,3.507057772361633,122.8,2.3,7.1,1.0,-3.001579778830965,0,0,0.9486970684039088,31.639047231270357,3.454392029654346,pre_crisis,Female,Ontario,Some postsecondary,35-44,40-44,Trades/Transport/Equipment,,Full-time,Non-unionized,Permanent,100-499 employees,"Single, never married",ON
2,1,2,3,9,33,59,1,1,1,2,2,19.26,2020,2,2020,2,1385.16,Synthetic,True,1,1,1,1,0,20,20,0,0,2.9580304063699794,137.0,-5.1,9.5,0.5,11.56351791530945,1,1,0.8503649635036497,16.378029197080295,2.79594075354761,covid,Female,British Columbia,Postsecondary certificate/diploma,15-24,20-24,Manufacturing/Utilities,Manufacturing,Full-time,Union member,Permanent,20-99 employees,Common-law,BC
2,4,8,4,6,33,13,1,1,3,1,3,23.66,2014,10,2014,10,806.69,Synthetic,True,1,1,1,0,1,50,22,28,784,3.1637858585502405,125.2,2.9,6.9,1.0,-8.613138686131382,0,0,0.9305111821086262,22.015894568690094,3.091764672889998,pre_crisis,Female,New Brunswick,Bachelor's degree,45-54,50-54,Sales and Service,Manufacturing,Full-time,Non-unionized,Permanent,<20 employees,Widowed,NB
1,3,6,1,6,45,35,1,1,3,1,6,19.87,2020,10,2020,10,927.17,Synthetic,True,0,1,1,0,0,40,18,22,484,2.9892110565637253,137.0,-5.1,9.5,0.5,9.424920127795522,1,1,0.8503649635036497,16.89675182481752,2.827121403741356,covid,Male,Ontario,High school graduate,35-44,40-44,Sales and Service,Retail Trade,Full-time,Non-unionized,Permanent,<20 employees,"Single, never married",ON
2,5,10,1,1,79,48,1,2,1,6,6,26.83,2014,1,2014,1,1303.67,Synthetic,True,1,1,0,1,0,60,18,42,1764,3.2895206644375325,125.2,2.9,6.9,1.0,-8.613138686131382,0,0,0.9305111821086262,24.96561501597444,3.21749947877729,pre_crisis,Female,Alberta,High school graduate,55-64,60-64,Business/Finance/Admin,,Full-time,Union member,Temporary,Unknown,"Single, never married",AB
2,2,4,5,4,71,35,1,1,1,2,1,39.75,2025,4,2025,4,1393.73,Synthetic,True,1,1,1,1,1,30,25,5,25,3.6826098411003407,165.0,1.8,6.3,3.75,31.78913738019169,0,0,0.706060606060606,28.06590909090909,3.3345556402055156,stabilization,Female,Ontario,Above bachelor's degree,25-34,30-34,Education/Law/Social/Government,Arts/Entertainment,Full-time,Union member,Permanent,20-99 employees,Married,ON
